,delay,packet_loss,netstream_upward,netstream_downward
8014,5.888888889,0.0,1001932.0,1630425.0
8015,5.888888889,0.0,1270704.0,4360256.0
8016,6.166666667,0.0,2182774.0,24654260.0
8017,5.666666667,0.0,747090.0,405962.0
8018,6.277777778,0.0,1672649.0,3177273.0
8019,6.055555556,0.0,2323732.0,6401857.0
8020,6.5,0.0,1227015.0,1255784.0
8021,6.611111111,0.0,1078456.0,1167836.0
8022,6.333333333,0.0,1822127.0,16915863.0
8023,6.166666667,0.0,926302.0,3205103.0
8024,5.666666667,0.0,1564372.0,12883928.0
8025,6.0,0.0,1150487.0,2625857.0
8026,6.333333333,0.166666667,1026490.0,2059139.0
8027,6.333333333,0.0,1049568.0,1047457.0
8028,5.777777778,0.0,1570512.0,17593628.0
8029,6.5,0.0,835771.0,1496487.0
8030,6.333333333,0.0,816048.0,506927.0
8031,6.277777778,0.0,815882.0,419407.0
8032,6.222222222,0.0,763006.0,482912.0
8033,5.888888889,0.0,1002938.0,2922800.0
8034,6.388888889,0.0,1562422.0,16176087.0
8035,6.555555556,0.0,1081533.0,10018418.0
8036,6.133333333,0.0,898360.0,3217931.0
8037,6.277777778,0.0,808673.0,1027033.0
8038,6.5,0.0,847037.0,905760.0
8039,5.666666667,0.0,1056515.0,1655081.0
8040,6.333333333,0.0,1460446.0,15894062.0
8041,5.888888889,0.0,1055182.0,1922861.0
8042,6.388888889,0.0,704393.0,618543.0
8043,6.388888889,0.0,354194.0,375055.0
8044,5.666666667,0.0,299220.0,381460.0
8045,5.666666667,0.0,511302.0,651270.0
8046,6.333333333,0.0,1111857.0,16286846.0
8047,6.666666667,0.0,268541.0,1569743.0
8048,6.277777778,0.333333333,359666.0,6419365.0
8049,6.555555556,0.0,422529.0,3628796.0
8050,6.444444444,0.0,256546.0,568705.0
8051,6.277777778,0.0,236663.0,553599.0
8052,5.722222222,0.0,475556.0,2682841.0
8053,6.444444444,0.0,247972.0,443402.0
8054,5.777777778,0.0,265718.0,565917.0
